날짜,설비용량(메가와트),경도,위도,발전기명,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2022-05-25,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,528,21312,75312,174528,283680,354480,396720,344112,288672,438000,278496,80640,21216,3936,0,0,0,0,0
2022-05-26,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,432,15888,73008,194064,330288,421680,481584,514896,513840,485040,426240,331776,197520,55920,1584,0,0,0,0
2022-05-27,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,480,31824,75600,207648,320928,413184,477120,510480,509472,485760,421056,324000,193440,53808,1536,0,0,0,0
2022-05-28,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,1056,25872,82320,185568,306480,384384,452688,454608,461856,447504,395136,303600,177216,50304,1920,0,0,0,0
2022-05-29,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,13584,50400,84576,117264,286944,369792,348720,442416,365472,407232,312384,183840,53616,2448,0,0,0,0
2022-05-30,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,18240,40416,99792,91152,103632,184224,218352,159216,134160,107184,85056,25488,2304,1056,0,0,0,0
2022-05-31,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,576,18288,72768,191088,279216,319104,459984,493008,501168,424656,406800,314304,185616,60240,5904,0,0,0,0
2022-06-01,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,480,16416,69312,191472,317328,380976,467616,506448,506832,480624,422352,328752,196368,53520,1920,0,0,0,0
2022-06-02,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,624,28560,90096,194544,307680,338928,416544,496416,494592,462384,401040,303600,174864,53376,2688,0,0,0,0
2022-06-03,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,9312,56160,151344,271200,370032,429840,456960,456768,422544,370464,253392,156912,53808,1776,0,0,0,0
2022-06-04,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,240,23040,84000,140112,229776,276624,281808,403104,276576,298656,128448,135696,139920,37440,2016,0,0,0,0
2022-06-05,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,5808,41568,76512,128064,128832,140640,164784,131568,50160,48288,42912,26592,13536,1584,0,0,0,0
2022-06-06,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,432,9024,20352,36192,236496,154080,388032,442608,458784,387600,216336,121248,42000,4464,0,0,0,0
2022-06-07,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,624,25776,41712,100224,111984,180528,76512,222288,267456,402192,296400,239904,190080,59424,3168,0,0,0,0
2022-06-08,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,24144,88080,171936,298272,386928,438432,435216,432816,425136,387984,292896,166752,58944,4128,0,0,0,0
2022-06-09,0.7,37.05075,126.5103,당진자재창고태양광,0,0,0,0,0,0,11616,32400,122448,237312,378240,314160,354672,382080,399408,321456,195360,127824,53952,1584,0,0,0,0
